ID Cliente,meses_consecutivos,Categoria
418,24,Diamante
419,0,Inactivo
420,24,Diamante
421,24,Diamante
422,24,Diamante
423,24,Diamante
424,24,Diamante
425,21,Diamante
426,24,Diamante
427,0,Inactivo
428,24,Diamante
429,0,Inactivo
430,24,Diamante
431,24,Diamante
432,24,Diamante
433,24,Diamante
434,24,Diamante
435,24,Diamante
436,24,Diamante
437,0,Inactivo
438,24,Diamante
439,24,Diamante
440,24,Diamante
441,24,Diamante
442,24,Diamante
443,24,Diamante
444,24,Diamante
445,24,Diamante
446,24,Diamante
447,24,Diamante
448,24,Diamante
449,24,Diamante
450,24,Diamante
451,24,Diamante
452,24,Diamante
453,24,Diamante
454,24,Diamante
455,21,Diamante
456,24,Diamante
457,24,Diamante
458,24,Diamante
459,24,Diamante
460,24,Diamante
461,24,Diamante
462,0,Inactivo
463,24,Diamante
464,24,Diamante
465,24,Diamante
466,0,Inactivo
467,0,Inactivo
468,24,Diamante
469,24,Diamante
470,0,Inactivo
471,24,Diamante
472,24,Diamante
473,0,Inactivo
474,24,Diamante
475,24,Diamante
476,0,Inactivo
477,24,Diamante
478,24,Diamante
479,0,Inactivo
480,24,Diamante
481,5,Plata
482,24,Diamante
483,24,Diamante
484,24,Diamante
485,24,Diamante
486,24,Diamante
487,24,Diamante
488,24,Diamante
489,24,Diamante
490,24,Diamante
491,24,Diamante
492,24,Diamante
493,24,Diamante
494,24,Diamante
495,24,Diamante
496,0,Inactivo
497,24,Diamante
498,24,Diamante
499,24,Diamante
500,0,Inactivo
501,0,Inactivo
502,24,Diamante
503,24,Diamante
504,24,Diamante
505,0,Inactivo
506,0,Inactivo
507,24,Diamante
508,24,Diamante
509,24,Diamante
510,0,Inactivo
511,0,Inactivo
512,24,Diamante
513,0,Inactivo
514,24,Diamante
515,24,Diamante
516,0,Inactivo
517,0,Inactivo
518,24,Diamante
519,24,Diamante
520,24,Diamante
521,0,Inactivo
522,24,Diamante
523,24,Diamante
524,24,Diamante
525,24,Diamante
526,24,Diamante
527,0,Inactivo
528,0,Inactivo
529,24,Diamante
530,24,Diamante
531,0,Inactivo
532,0,Inactivo
533,24,Diamante
534,24,Diamante
535,24,Diamante
536,24,Diamante
537,3,Plata
538,24,Diamante
539,0,Inactivo
540,24,Diamante
541,24,Diamante
542,24,Diamante
543,24,Diamante
544,24,Diamante
545,0,Inactivo
546,24,Diamante
547,24,Diamante
548,24,Diamante
549,24,Diamante
550,24,Diamante
551,24,Diamante
552,24,Diamante
553,24,Diamante
554,24,Diamante
555,24,Diamante
556,24,Diamante
557,24,Diamante
558,24,Diamante
559,24,Diamante
560,24,Diamante
561,24,Diamante
562,24,Diamante
563,24,Diamante
564,24,Diamante
565,24,Diamante
566,0,Inactivo
567,0,Inactivo
568,24,Diamante
569,24,Diamante
570,24,Diamante
571,24,Diamante
572,24,Diamante
573,24,Diamante
574,24,Diamante
575,24,Diamante
576,24,Diamante
577,24,Diamante
578,24,Diamante
579,24,Diamante
580,24,Diamante
581,24,Diamante
582,0,Inactivo
583,0,Inactivo
584,24,Diamante
585,0,Inactivo
586,24,Diamante
587,24,Diamante
588,24,Diamante
589,24,Diamante
590,0,Inactivo
591,24,Diamante
592,24,Diamante
593,24,Diamante
594,24,Diamante
595,24,Diamante
596,24,Diamante
597,0,Inactivo
598,24,Diamante
599,24,Diamante
600,24,Diamante
601,24,Diamante
602,24,Diamante
603,24,Diamante
604,24,Diamante
605,24,Diamante
606,24,Diamante
607,0,Inactivo
608,24,Diamante
609,24,Diamante
610,24,Diamante
611,0,Inactivo
612,24,Diamante
613,0,Inactivo
614,24,Diamante
615,24,Diamante
616,24,Diamante
617,24,Diamante
618,24,Diamante
619,24,Diamante
620,0,Inactivo
621,24,Diamante
622,0,Inactivo
623,24,Diamante
624,24,Diamante
625,24,Diamante
626,24,Diamante
627,24,Diamante
628,24,Diamante
629,24,Diamante
630,24,Diamante
631,24,Diamante
632,24,Diamante
633,24,Diamante
634,24,Diamante
635,24,Diamante
636,0,Inactivo
637,24,Diamante
638,24,Diamante
639,24,Diamante
640,24,Diamante
641,24,Diamante
642,24,Diamante
643,0,Inactivo
644,24,Diamante
645,24,Diamante
646,24,Diamante
647,24,Diamante
648,24,Diamante
649,24,Diamante
650,24,Diamante
651,24,Diamante
652,24,Diamante
653,24,Diamante
654,24,Diamante
655,24,Diamante
656,24,Diamante
657,24,Diamante
658,24,Diamante
659,24,Diamante
660,0,Inactivo
661,24,Diamante
662,24,Diamante
663,24,Diamante
664,24,Diamante
665,0,Inactivo
666,24,Diamante
667,24,Diamante
668,24,Diamante
669,0,Inactivo
670,24,Diamante
671,24,Diamante
672,24,Diamante
673,24,Diamante
674,24,Diamante
675,24,Diamante
676,0,Inactivo
677,24,Diamante
678,24,Diamante
679,24,Diamante
680,24,Diamante
681,24,Diamante
682,24,Diamante
683,24,Diamante
684,0,Inactivo
685,0,Inactivo
686,24,Diamante
687,24,Diamante
688,24,Diamante
689,24,Diamante
690,24,Diamante
691,24,Diamante
692,24,Diamante
693,24,Diamante
694,24,Diamante
695,0,Inactivo
696,24,Diamante
697,24,Diamante
698,24,Diamante
699,24,Diamante
700,24,Diamante
701,24,Diamante
702,0,Inactivo
703,24,Diamante
704,0,Inactivo
705,24,Diamante
706,24,Diamante
707,24,Diamante
708,24,Diamante
709,13,Diamante
710,24,Diamante
711,24,Diamante
712,24,Diamante
713,24,Diamante
714,24,Diamante
715,0,Inactivo
716,24,Diamante
717,0,Inactivo
718,24,Diamante
719,24,Diamante
720,24,Diamante
721,24,Diamante
722,24,Diamante
723,24,Diamante
724,24,Diamante
725,24,Diamante
726,14,Diamante
727,24,Diamante
728,24,Diamante
729,24,Diamante
730,24,Diamante
731,0,Inactivo
732,24,Diamante
733,24,Diamante
734,24,Diamante
735,0,Inactivo
736,24,Diamante
737,24,Diamante
738,24,Diamante
739,24,Diamante
740,0,Inactivo
741,17,Diamante
742,24,Diamante
743,24,Diamante
744,0,Inactivo
745,24,Diamante
746,24,Diamante
747,24,Diamante
748,24,Diamante
749,24,Diamante
750,24,Diamante
751,24,Diamante
752,0,Inactivo
753,24,Diamante
754,24,Diamante
755,24,Diamante
756,24,Diamante
757,24,Diamante
758,24,Diamante
759,24,Diamante
760,24,Diamante
761,24,Diamante
762,24,Diamante
763,24,Diamante
764,24,Diamante
765,21,Diamante
766,24,Diamante
767,0,Inactivo
768,24,Diamante
769,24,Diamante
770,24,Diamante
771,24,Diamante
772,24,Diamante
773,24,Diamante
774,24,Diamante
775,24,Diamante
776,24,Diamante
777,24,Diamante
778,24,Diamante
779,24,Diamante
780,24,Diamante
781,24,Diamante
782,24,Diamante
783,24,Diamante
784,24,Diamante
785,24,Diamante
786,24,Diamante
787,24,Diamante
788,24,Diamante
789,24,Diamante
790,24,Diamante
791,24,Diamante
792,0,Inactivo
793,0,Inactivo
794,24,Diamante
795,24,Diamante
796,0,Inactivo
797,24,Diamante
798,24,Diamante
799,24,Diamante
800,24,Diamante
801,24,Diamante
802,24,Diamante
803,24,Diamante
804,24,Diamante
805,24,Diamante
806,24,Diamante
807,24,Diamante
808,24,Diamante
809,24,Diamante
810,24,Diamante
811,24,Diamante
812,24,Diamante
813,24,Diamante
814,24,Diamante
815,13,Diamante
816,24,Diamante
817,24,Diamante
818,24,Diamante
819,0,Inactivo
820,24,Diamante
821,0,Inactivo
822,24,Diamante
823,24,Diamante
824,24,Diamante
